Artist,Ethnicity,Nationality,Gender,Museum,Small Museum?
Massimo Vitali,Italian,Italian,Male,The Phillips Collection,Yes
Edward Burtynsky,Canadian-Ukrainian,Canadian-Ukrainian,Male,The Phillips Collection,Yes
Harri Kallio,Finnish,Finnish,Male,The Phillips Collection,Yes
Astrid Kruse Jensen,Danish,Danish,Female,The Phillips Collection,Yes
Richard Misrach,Jewish,American ,Male,The Phillips Collection,Yes
Abelardo Morell,White,Cuban-American,Male,The Phillips Collection,Yes
Lori Nix,White,American,Female,The Phillips Collection,Yes
Erwin Olaf,Dutch ,Dutch ,Male,The Phillips Collection,Yes
Alex Webb,White,American,Male,The Phillips Collection,Yes
Joseph Marioni,White,American,Male,The Phillips Collection,Yes
Tayo Heuser,White,American,Female,The Phillips Collection,Yes
Ólafur Elíasson,Icelandic-Danish,Icelandic-Danish,Male,The Phillips Collection,Yes
Chuck Close,White,American,Male,The Phillips Collection,Yes
Bill Viola,White,American,Male,The Phillips Collection,Yes
David Salle,White,American,Male,The Phillips Collection,Yes
Eric Fischl,White,American,Male,The Phillips Collection,Yes
Andres Serrano,Honduran/Afro-Cuban,American,Male,The Phillips Collection,Yes
Lou Reed,Jewish,American,Male,The Phillips Collection,Yes
April Gornik,White,American,Female,The Phillips Collection,Yes
Ross Bleckner,White,American,Male,The Phillips Collection,Yes
Laurie Simmons,White,American,Female,The Phillips Collection,Yes
Lyle Ashton-Harris,African-American,American,Male,The Phillips Collection,Yes
Vik Muniz,Brazilian,Brazilian,Male,The Phillips Collection,Yes
Antony Gormley,British,British,Male,The Phillips Collection,Yes
Aimé Mpane,Congolese,Congolese,Male,The Phillips Collection,Yes
Arnold Newman,White,American,Male,The Phillips Collection,Yes
Francesco Nonino,Italian,Italian,Male,The Phillips Collection,Yes
Renato d'Agostin,Italian,Italian,Male,The Phillips Collection,Yes
Florence Pierce,White,American,Female,The Phillips Collection,Yes
Justine Otto,German,German,Female,The Phillips Collection,Yes
A Balasubramaniam,Indian,Indian,Male,The Phillips Collection,Yes
Jennifer Wen Ma,Chinese-American,Chinese-American,Female,The Phillips Collection,Yes
Barbara Liotta,White,American,Female,The Phillips Collection,Yes
Mark Power,British,British,Male,The Phillips Collection,Yes
Xavier Veilhan,French ,French ,Male,The Phillips Collection,Yes
