Name,Nationality,Gender,Museum,SmallMuseum
Rachel Jones,"British-Jamaican,Bajan",,Hammer Museum,Yes
Stephen Kaltenbach,American,Male,Hammer Museum,Yes
Kurt Kauper,American,Male,Hammer Museum,Yes
Mike Kelley,American,Male,Hammer Museum,Yes
Mary Kelly,American,Female,Hammer Museum,Yes
Florian Krewer,German,Male,Hammer Museum,Yes
Brandon Landers,African-American,Male,Hammer Museum,Yes
L. Frank,Native American,Non-binary,Hammer Museum,Yes
Rodney McMillian,African-American,Male,Hammer Museum,Yes
Lee Mullican,American,Male,Hammer Museum,Yes
Robert Overby,American,Male,Hammer Museum,Yes
Laura Owens,American,Female,Hammer Museum,Yes
Adrian Piper,American,Female,Hammer Museum,Yes
Noah Purifoy,African-American,Male,Hammer Museum,Yes
Christina Quarles,African-American,Female,Hammer Museum,Yes
Roland Reiss,American,Male,Hammer Museum,Yes
Deborah Roberts,African-American,Female,Hammer Museum,Yes
Julia Rommel,American,Female,Hammer Museum,Yes
Allen Ruppersberg,American,Male,Hammer Museum,Yes
Ben Sakoguchi,Japanese,Male,Hammer Museum,Yes
Ilana Savdie,Colombian,Female,Hammer Museum,Yes
Tschabalala Self,African-American,Female,Hammer Museum,Yes
Paul Mpagi Sepuya,African-American,Male,Hammer Museum,Yes
Barbara T. Smith,American,Female,Hammer Museum,Yes
Joey Terrill,Mexican,Male,Hammer Museum,Yes
Kerry Tribe,American,Female,Hammer Museum,Yes
Patssi Valdez,Mexican,Female,Hammer Museum,Yes
Gillian Wearing,British,Female,Hammer Museum,Yes
Ming Wong,Singaporean,Male,Hammer Museum,Yes
Jonas Wood,American,Male,Hammer Museum,Yes
Whitfield Lovell,African-American,Male,The Phillips Collection,Yes
Markus Lüpertz,German,Male,The Phillips Collection,Yes
Linn Meyers,American,Female,The Phillips Collection,Yes
Marco Paoli,Italian,Male,The Phillips Collection,Yes
Jack Boul,American,Male,The Phillips Collection,Yes
Angela Bulloch,Canadian,Female,The Phillips Collection,Yes
Maria Friberg,Swedish,Female,The Phillips Collection,Yes
Valeska Soares,Brazilian-American,Female,The Phillips Collection,Yes
James Casebere,American,Male,The Phillips Collection,Yes
Jules Olitski,Russian,Male,The Phillips Collection,Yes
Wolfgang Laib,German,Male,The Phillips Collection,Yes
Anna Paola Pizzocaro,Italian,Female,The Phillips Collection,Yes
Sarah Anne Johnson,Canadian,Female,The Phillips Collection,Yes
Sandra Cinto,Brazilian,Female,The Phillips Collection,Yes
